task,seed,method,normalized_HV,shape_error,force_MAPE
unseen LCE formulation A,14,AS-SMEA,0.8008742971299558,0.10693817913216587,0.15213573488102256
unseen LCE formulation A,15,AS-SMEA,0.8255240892748832,0.09932257603297673,0.16023267957332174
unseen LCE formulation A,16,AS-SMEA,0.8081419025620322,0.09990317482101657,0.1570066866161769
unseen LCE formulation A,17,AS-SMEA,0.8118707068880446,0.10558041429703555,0.1519324626559896
unseen LCE formulation A,18,AS-SMEA,0.8055933111562456,0.09935870604329153,0.14596597727737037
unseen LCE formulation A,19,AS-SMEA,0.8190988860929624,0.09646699988719659,0.15757863208521744
unseen LCE formulation A,20,AS-SMEA,0.8031638009349565,0.09260910685339409,0.16115073631429908
unseen LCE formulation B,1,Frank-WT MF-PIRN,0.8867566885954777,0.06438570973693222,0.06734962127904565
unseen LCE formulation B,2,Frank-WT MF-PIRN,0.9076823091516797,0.05105481311901919,0.08027897243088954
unseen LCE formulation B,3,Frank-WT MF-PIRN,0.8815754683325312,0.054732960322747125,0.07641275451980023
unseen LCE formulation B,4,Frank-WT MF-PIRN,0.8950179417273039,0.05142313253719449,0.0847753582822902
unseen LCE formulation B,5,Frank-WT MF-PIRN,0.9161773063299767,0.06403447626120257,0.06795055445945977
unseen LCE formulation B,6,Frank-WT MF-PIRN,0.8830880711496828,0.05136662080484535,0.07289148491531715
unseen LCE formulation B,7,Frank-WT MF-PIRN,0.9043424577210617,0.05180074461146355,0.07126033878677934
unseen LCE formulation B,8,Frank-WT MF-PIRN,0.8997405630369903,0.05328986852043454,0.07850016490665211
unseen LCE formulation B,9,Frank-WT MF-PIRN,0.8751644339772578,0.06193279528373181,0.07972144272519531
unseen LCE formulation B,10,Frank-WT MF-PIRN,0.9138580932866175,0.051845131818029536,0.07198417128317038
unseen LCE formulation B,11,Frank-WT MF-PIRN,0.8954809007598273,0.0611163158311605,0.07059357349660793
unseen LCE formulation B,12,Frank-WT MF-PIRN,0.8970587276370305,0.06378011633847264,0.07315575037003996
unseen LCE formulation B,13,Frank-WT MF-PIRN,0.9098188630548265,0.06337775679988822,0.06871516777091727
unseen LCE formulation B,14,Frank-WT MF-PIRN,0.8898787107066463,0.043653348199512575,0.06619138061506108
unseen LCE formulation B,15,Frank-WT MF-PIRN,0.9010395127802824,0.053583944883587545,0.07794433922197695
unseen LCE formulation B,16,Frank-WT MF-PIRN,0.9133166394704493,0.05777330243779196,0.07903550037950956
unseen LCE formulation B,17,Frank-WT MF-PIRN,0.9009239291442422,0.04549345565113587,0.0648683370707868
unseen LCE formulation B,18,Frank-WT MF-PIRN,0.887539372135231,0.03959117621523352,0.0837207936904997
unseen LCE formulation B,19,Frank-WT MF-PIRN,0.8840267300963156,0.0432507668609748,0.07156355775756121
unseen LCE formulation B,20,Frank-WT MF-PIRN,0.867233995874403,0.037242918968254164,0.08505182033036962
